ticker,current_price,base_dcf_value,mc_mean_iv,growth_rate,discount_rate,beta,revenue_growth,fcf_yield,dcf_over_price,mc_mean_over_price,mc_std_over_price,prob_undervalued,net_cash_per_share_over_price,margin_vs_undervalued_threshold,threshold_verdict,call_date
PEP,144.98,183.90649169727206,236.94331532395472,0.11037622910555944,0.064,0.8,0.085,0.03871734750665457,1.268495597304953,1.6343172528897416,0.6519846406522134,0.8538,-0.21145162544844467,0.6343172528897416,UNDERVALUED,2026-07-08
WMT,111.54,53.63949218146277,67.70718067808478,0.07584931135670359,0.064,0.8,0.073,0.01681191727301348,0.48089915887988854,0.6070215230238908,0.23579941268040974,0.0606,-0.07302025493523075,-0.3929784769761092,OVERVALUED,2026-07-08
COST,947.5,1354.6994465808916,1329.493334288399,0.3,0.06616,0.872,0.215,0.01865081269034201,1.4297619488980386,1.403159191861107,0.6026581077921134,0.7244,0.0021370967728241803,0.4031591918611071,UNDERVALUED,2026-07-08
MCD,282.21,284.88578994529007,395.6752410701728,0.0940177544032661,0.064,0.8,0.094,0.03583827936606976,1.0094815560940082,1.402059604798458,0.5509909867419659,0.747,-0.2679392730703235,0.40205960479845787,UNDERVALUED,2026-07-08
NKE,43.21,30.804368296703345,37.62730816348111,-0.09643491560240325,0.07383999999999999,1.128,-0.011,0.06305184359281935,0.7128990580121116,0.87080092949505,0.3242084349811258,0.2488,-0.0387031744294026,-0.12919907050495003,OVERVALUED,2026-07-08
DIS,97.48,289.6591723999023,304.6384858315171,0.3,0.08194,1.398,0.065,0.0595303030339136,2.9714728395558296,3.1251383445990673,1.2725316991817002,0.9978,-0.24620273746553253,2.125138344599067,UNDERVALUED,2026-07-08
NFLX,76.18,112.6321476545067,110.0140357298845,0.3,0.08551,1.517,0.162,0.029494025038549018,1.4785002317472655,1.4441327872129757,0.5764529593883442,0.812,-0.013884187852953927,0.44413278721297567,UNDERVALUED,2026-07-08
ADBE,221.54,600.5647902280093,664.4196322744058,0.10029506958590018,0.08299000000000001,1.433,0.127,0.11187553335911059,2.7108639082242907,2.999095568630522,1.1195899558525706,1.0,-0.016477003116548938,1.999095568630522,UNDERVALUED,2026-07-08
CRM,169.52,1048.0623056270656,1069.103811688871,0.3,0.07533999999999999,1.178,0.133,0.10373324436561814,6.182528938338046,6.306652971265166,2.6328234045104164,1.0,-0.22120202528319563,5.306652971265167,UNDERVALUED,2026-07-08
AMD,516.11,166.34275403852322,154.00798083394199,0.29308334009308634,0.1,2.0,0.378,0.008002906039535783,0.3223009707979369,0.29840146641983684,0.09771575658763905,0.0008,0.010071659917202873,-0.7015985335801632,OVERVALUED,2026-07-08
QCOM,182.97,446.3755428887653,482.09191658548133,0.23330649006511273,0.08914,1.638,-0.035,0.06647640518001573,2.439610553034734,2.6348139945645808,1.0536537622868547,0.9956,-0.028369140636383502,1.6348139945645808,UNDERVALUED,2026-07-08
CSCO,111.79,68.55841792429099,80.34079363892957,0.013898544116964118,0.07021,1.007,0.12,0.030157985731150867,0.613278628896064,0.7186760321936628,0.26548951807627824,0.1456,-0.03713236254508019,-0.2813239678063372,OVERVALUED,2026-07-08
IBM,306.13,395.8848291851504,513.645999575101,0.10617435101575201,0.064,0.8,0.095,0.03981203288021433,1.2931918766052017,1.677868877846343,0.6922346970229601,0.8708,-0.20164594922889617,0.677868877846343,UNDERVALUED,2026-07-08
TXN,293.3,20.50516990394587,35.385111133909795,-0.1,0.07930000000000001,1.31,0.186,0.00975161239856682,0.06991193284672986,0.12064477031677392,0.04305264054707102,0.0,-0.03351812303406368,-0.8793552296832261,OVERVALUED,2026-07-08
AVGO,370.78,179.1437342153454,209.84364528258178,0.1816540426343054,0.08385999999999999,1.462,0.479,0.015257234809279702,0.4831537143733357,0.5659518994621657,0.23425702910806154,0.0508,-0.0256681420437081,-0.4340481005378343,OVERVALUED,2026-07-08
PYPL,45.65,117.07619316487161,132.38271568639678,0.028980365440431477,0.07996,1.332,0.072,0.13817383544316827,2.5646482621001447,2.8999499602715617,1.0362387723612985,1.0,-0.05781247630601941,1.8999499602715613,UNDERVALUED,2026-07-08
CAT,940.12,329.6508507598452,459.8359707973098,0.12987626741358516,0.08695,1.565,0.222,0.017212004656184183,0.35064763089801854,0.48912476151694445,0.185977959912444,0.0222,-0.09179889629245114,-0.5108752384830556,OVERVALUED,2026-07-08
GE,366.98,177.85816253065767,208.6343590358029,0.11395514846114008,0.08044000000000001,1.348,0.247,0.01897180849978811,0.4846535574981134,0.5685169737746005,0.2209939337951845,0.0456,-0.028050280542135632,-0.4314830262253995,OVERVALUED,2026-07-08
HON,225.05,404.9383333543703,544.7787279369624,0.06346989909521827,0.0679,0.93,0.024,0.07604294280707291,1.799326075780361,2.420700857307098,0.9407516169713096,0.9984,-0.3556852055450734,1.4207008573070976,UNDERVALUED,2026-07-08
